PLAYER_NAME,total_attempts,total_makes,total_poe,total_xp,total_actual_points,avg_xp_prob,fg_pct,poe_per_100,shooting_skill
AJ Green,314,140,67.7812498482903,336.2187501517097,404,0.37305191694473994,0.445859872611465,21.58638530200328,0.07280795566672504
Aaron Gordon,273,139,15.112568328701075,304.88743167129894,320,0.4893818859250592,0.5091575091575091,5.535739314542519,0.019775623232449913
Aaron Nesmith,315,115,-42.38689631933059,335.38689631933056,293,0.4316782290885883,0.36507936507936506,-13.456157561692251,-0.06659886400922327
Aaron Wiggins,290,129,-1.8424360102058688,320.84243601020586,319,0.4529403196253954,0.44482758620689655,-0.6353227621399548,-0.00811273341849883
Ace Bailey,398,180,-23.971366324213285,442.9713663242133,419,0.47770234505358117,0.45226130653266333,-6.02295636286766,-0.025441038520917836
Ajay Mitchell,456,222,19.411128408420755,472.5888715915792,492,0.46376040419877684,0.4868421052631579,4.2568264053554286,0.023081701064381066
Alex Sarr,514,256,-31.010962697955424,579.0109626979554,548,0.5267929989800069,0.4980544747081712,-6.033261225283156,-0.028738524271835653
Alperen Sengun,600,311,5.539976214259598,639.4600237857404,645,0.5102850384872821,0.5183333333333333,0.9233293690432662,0.008048294846051185
Amen Thompson,604,308,-70.66624355249644,702.6662435524964,632,0.5562292193609663,0.5099337748344371,-11.699709197433185,-0.04629544452652912
Andrew Nembhard,505,226,13.098841846390377,505.90115815360963,519,0.43632716643455144,0.44752475247524753,2.593830068592154,0.011197586040696095
Andrew Wiggins,555,261,10.138955551854892,591.8610444481451,602,0.46681770244385545,0.4702702702702703,1.8268388381720526,0.003452567826414843
Anfernee Simons,527,229,49.894867655256945,528.1051323447431,578,0.39913261704259023,0.43453510436432635,9.467716822629402,0.03540248732173612
Anthony Black,553,254,-38.423842254283194,620.4238422542832,582,0.49205224716817464,0.4593128390596745,-6.948253572203108,-0.03273940810850012
Anthony Davis,334,169,-26.464371306827186,374.46437130682716,348,0.5407321297515387,0.5059880239520959,-7.923464463121912,-0.03474410579944287
Anthony Edwards,764,381,85.60057923882815,805.3994207611719,891,0.45387422268072286,0.4986910994764398,11.204264298275936,0.04481687679571694
Ausar Thompson,351,180,-48.17347817608985,413.1734781760899,365,0.5789623803440391,0.5128205128205128,-13.724637657005657,-0.06614186752352635
Austin Reaves,373,189,52.79217907705472,387.2078209229453,440,0.4388021934867987,0.5067024128686327,14.153399216368555,0.06790021938183399
Ayo Dosunmu,418,214,33.910756742064166,471.08924325793583,505,0.4903134402097827,0.5119617224880383,8.112621230158892,0.021648282278255604
Bam Adebayo,562,251,-35.54993099934154,599.5499309993415,564,0.4758966300639182,0.44661921708185054,-6.325610498103478,-0.029277412982067652
Bennedict Mathurin,327,140,-6.56114627568377,341.56114627568377,335,0.4420240232866055,0.42813455657492355,-2.00646675097363,-0.013889466711681953
Bobby Portis,489,238,72.04166010340853,490.95833989659144,563,0.431300609353148,0.4867075664621677,14.7324458289179,0.05540695710901966
Brandin Podziemski,455,210,39.23515197096534,463.7648480290347,503,0.42623031592641264,0.46153846153846156,8.623110323289087,0.035308145612048925
Brandon Ingram,789,368,22.28362218554249,794.7163778144575,817,0.4518177176900717,0.4664131812420786,2.824286715531368,0.014595463552006915
Brandon Miller,492,213,-6.597114083382047,520.597114083382,514,0.44375811431807466,0.4329268292682927,-1.3408768462158633,-0.01083128504978198
Brandon Williams,386,176,-45.77982923135513,416.7798292313551,371,0.49354406778918347,0.45595854922279794,-11.860059386361431,-0.037585518566385534
Brice Sensabaugh,405,183,8.378765740255169,429.6212342597448,438,0.4340719421170463,0.45185185185185184,2.0688310469765847,0.017779909734805532
Bruce Brown,297,137,-25.124106511319418,320.12410651131944,295,0.49793004166737026,0.4612794612794613,-8.45929512165637,-0.03665058038790897
Bub Carrington,386,154,12.796267171696242,389.20373282830377,402,0.39811715959749405,0.39896373056994816,3.315095122201099,0.0008465709724541082
Buddy Hield,271,117,6.6627215397236474,289.33727846027637,296,0.41750963762215887,0.4317343173431734,2.4585688338463645,0.014224679721014544
CJ McCollum,650,295,44.8215047354578,656.1784952645422,701,0.42583420687090623,0.45384615384615384,6.895616113147354,0.028011946975247615
Cade Cunningham,757,346,-20.89138126761761,786.8913812676176,766,0.46693214465026883,0.4570673712021136,-2.7597597447315207,-0.009864773448155228
Caleb Love,423,165,-28.6458732983531,440.6458732983531,412,0.4171136206437149,0.3900709219858156,-6.772074065804515,-0.027042698657899267
Cam Spencer,344,165,79.09992356937757,347.90007643062245,427,0.39652531528390683,0.4796511627906977,22.994163828307432,0.08312584750679086
Cam Thomas,276,109,-22.19059976791809,273.1905997679181,251,0.43007527609502033,0.39492753623188404,-8.040072379680467,-0.035147739863136296
Cason Wallace,297,122,-29.111370914376373,334.1113709143764,305,0.45878786926813886,0.4107744107744108,-9.801808388678914,-0.04801345849372807
Cedric Coward,442,206,-13.130588237540127,489.1305882375401,476,0.47682235892526353,0.4660633484162896,-2.970721320710436,-0.010759010508973932
Chet Holmgren,496,283,35.20158432706733,587.7984156729327,623,0.5368436633206835,0.5705645161290323,7.097093614328092,0.0337208528083488
Coby White,337,154,13.396193025873972,361.60380697412603,375,0.44126018369946723,0.456973293768546,3.975131461683671,0.015713110069078773
Collin Gillespie,489,216,67.31371861619452,498.68628138380546,566,0.3960864573044152,0.44171779141104295,13.765586629078635,0.04563133410662773
Collin Sexton,382,188,25.43848062621357,399.56151937378644,425,0.46274650631124786,0.49214659685863876,6.659288122045437,0.0294000905473909
