"timestamp","source","season","rows","error"
"2026-02-07 08:28:46","espn","2025-26",406856,""
"2026-02-07 10:07:16","nba_stats","2025-26",598662,""
"2026-02-08 09:29:50","espn","2025-26",411956,""
"2026-02-08 09:46:01","nba_stats","2025-26",460455,""
"2026-02-08 11:32:05","nba_stats","2025-26",606321,""
"2026-02-09 09:00:10","espn","2025-26",413974,""
"2026-02-09 09:04:44","nba_stats","2025-26",607036,""
"2026-02-09 11:58:24","espn","2025-26",413974,""
"2026-02-09 12:01:17","nba_stats","2025-26",609365,""
"2026-02-09 12:10:24","espn","2025-26",413974,""
"2026-02-09 12:13:12","nba_stats","2025-26",609365,""
"2026-02-09 12:26:15","espn","2025-26",413974,""
"2026-02-09 12:29:03","nba_stats","2025-26",609365,""
"2026-02-10 07:48:01","espn","2025-26",419173,""
"2026-02-10 09:02:45","nba_stats","2025-26",617092,""
"2026-02-10 09:20:07","espn","2025-26",419173,""
"2026-02-10 09:24:01","nba_stats","2025-26",617092,""
