player,archetype,avg_distance,avg_xFG,avg_sdi,actual_fg_pct
AJ Green,Off-Dribble Shooter,23.35987261146497,0.37305191694473994,0.5439643235241869,0.445859872611465
Aaron Gordon,Balanced Scorer,13.293040293040294,0.4893818859250592,0.4343458575556166,0.5091575091575091
Aaron Nesmith,Off-Dribble Shooter,17.06984126984127,0.4316782290885883,0.486067273751741,0.36507936507936506
Aaron Wiggins,Off-Dribble Shooter,15.327586206896552,0.4529403196253954,0.45620714317568745,0.44482758620689655
Ace Bailey,Balanced Scorer,15.256281407035177,0.47770234505358117,0.44963464695137006,0.45226130653266333
Ajay Mitchell,Balanced Scorer,11.56140350877193,0.46376040419877684,0.43539586851068135,0.4868421052631579
Alex Sarr,Balanced Scorer,9.235408560311283,0.5267929989800069,0.36031711226675306,0.4980544747081712
Alperen Sengun,Balanced Scorer,8.691666666666666,0.5102850384872821,0.3779870424067151,0.5183333333333333
Amen Thompson,Balanced Scorer,7.847682119205298,0.5562292193609663,0.36138309178204936,0.5099337748344371
Andrew Nembhard,Balanced Scorer,15.542574257425743,0.43632716643455144,0.48192764463694127,0.44752475247524753
Andrew Wiggins,Balanced Scorer,13.045045045045045,0.46681770244385545,0.4270948018339836,0.4702702702702703
Anfernee Simons,Balanced Scorer,18.990512333965846,0.39913261704259023,0.5238494277179241,0.43453510436432635
Anthony Black,Balanced Scorer,12.754068716094032,0.49205224716817464,0.43235500896267964,0.4593128390596745
Anthony Davis,Balanced Scorer,8.718562874251496,0.5407321297515387,0.3620117454757258,0.5059880239520959
Anthony Edwards,Balanced Scorer,15.007853403141361,0.45387422268072286,0.4955804497016305,0.4986910994764398
Ausar Thompson,Rim Pressure Slasher,5.564102564102564,0.5789623803440391,0.32935041351828237,0.5128205128205128
Austin Reaves,Balanced Scorer,15.394101876675602,0.4388021934867987,0.4607594808537328,0.5067024128686327
Ayo Dosunmu,Balanced Scorer,11.64354066985646,0.4903134402097827,0.42428533425012394,0.5119617224880383
Bam Adebayo,Balanced Scorer,12.674377224199288,0.4758966300639182,0.4145382051078567,0.44661921708185054
Ben Sheppard,Off-Dribble Shooter,17.333333333333332,0.4308639317726798,0.4916247734188163,0.3761904761904762
Bennedict Mathurin,Balanced Scorer,15.712538226299694,0.4420240232866055,0.4722052021928186,0.42813455657492355
Bilal Coulibaly,Balanced Scorer,12.436018957345972,0.5122081239092577,0.4012059951602373,0.3933649289099526
Bobby Portis,Balanced Scorer,15.494887525562373,0.431300609353148,0.46668412924880615,0.4867075664621677
Bones Hyland,Off-Dribble Shooter,17.282178217821784,0.42798403197752305,0.49371505658075077,0.45544554455445546
Brandin Podziemski,Balanced Scorer,16.186813186813186,0.42623031592641264,0.49039721466017744,0.46153846153846156
Brandon Ingram,Balanced Scorer,14.594423320659063,0.4518177176900717,0.4814178425974281,0.4664131812420786
Brandon Miller,Balanced Scorer,16.258130081300813,0.44375811431807466,0.4626433980367108,0.4329268292682927
Brandon Williams,Balanced Scorer,10.132124352331607,0.49354406778918347,0.42957013169381525,0.45595854922279794
Brice Sensabaugh,Off-Dribble Shooter,16.8,0.4340719421170463,0.49996688664692646,0.45185185185185184
Brook Lopez,Off-Dribble Shooter,21.138528138528137,0.39452673096233853,0.4865415630019223,0.36796536796536794
Bruce Brown,Balanced Scorer,9.127946127946128,0.49793004166737026,0.3766382364737934,0.4612794612794613
Bub Carrington,Balanced Scorer,19.740932642487046,0.39811715959749405,0.5407307048699836,0.39896373056994816
