PLAYER_NAME,total_attempts,total_makes,total_poe,total_xp,total_actual_points,avg_xp_prob,fg_pct,poe_per_100,shooting_skill,expected_fg_pct,fg_residual,fg_residual_pct
AJ Green,349,155,68.87462187295073,377.12537812704926,446,0.3769287488648367,0.44412607449856734,19.734848674197917,0.06719732563373065,0.3769287488648367,0.06719732563373065,6.719732563373065
Aaron Gordon,273,139,14.497315845668123,305.50268415433186,320,0.48934093919466665,0.5091575091575091,5.310372104640338,0.01981656996284248,0.48934093919466665,0.01981656996284248,1.9816569962842479
Aaron Nesmith,347,134,-29.96208390592135,369.96208390592136,340,0.4318806933573542,0.3861671469740634,-8.634606312945634,-0.04571354638329078,0.4318806933573542,-0.04571354638329078,-4.571354638329078
Aaron Wiggins,325,147,5.687698901898845,359.31230109810116,365,0.4518314893152062,0.4523076923076923,1.75006120058426,0.00047620299248607445,0.4518314893152062,0.00047620299248607445,0.047620299248607445
Ace Bailey,469,210,-35.62418591529133,523.6241859152914,488,0.47999301235158476,0.44776119402985076,-7.59577524846297,-0.032231818321733996,0.47999301235158476,-0.032231818321733996,-3.2231818321734
Ajay Mitchell,456,222,22.56126083379854,469.43873916620146,492,0.45941598434224906,0.4868421052631579,4.947644919692662,0.027426120920908847,0.45941598434224906,0.027426120920908847,2.7426120920908845
Alex Sarr,562,279,-28.232687594712328,626.2326875947123,598,0.5194525153291574,0.49644128113879005,-5.023609892297568,-0.023011234190367325,0.5194525153291574,-0.023011234190367325,-2.3011234190367325
Alperen Sengun,702,348,-18.54788517748376,738.5478851774837,720,0.5052585882008944,0.49572649572649574,-2.6421488856814475,-0.009532092474398679,0.5052585882008944,-0.009532092474398679,-0.9532092474398679
Amen Thompson,681,342,-81.86354787559407,782.863547875594,701,0.5514840103323301,0.5022026431718062,-12.021078983200303,-0.04928136716052389,0.5514840103323301,-0.04928136716052389,-4.928136716052389
Andrew Nembhard,543,243,20.523392777659385,540.4766072223406,561,0.43163709493370694,0.44751381215469616,3.7796303457936253,0.01587671722098921,0.43163709493370694,0.01587671722098921,1.5876717220989212
Andrew Wiggins,603,282,6.375903941213849,643.6240960587861,650,0.4659570356017268,0.46766169154228854,1.057363837680572,0.001704655940561739,0.4659570356017268,0.001704655940561739,0.1704655940561739
Anfernee Simons,583,258,67.94613891338985,584.0538610866101,652,0.39669077080131854,0.4425385934819897,11.65456928188505,0.04584782268067117,0.39669077080131854,0.04584782268067117,4.584782268067117
Anthony Black,623,285,-45.304038850131825,698.3040388501319,653,0.49011503369668385,0.45746388443017655,-7.2719163483357665,-0.03265114926650731,0.49011503369668385,-0.03265114926650731,-3.265114926650731
Anthony Davis,334,169,-23.125753305719645,371.1257533057196,348,0.5355646381494552,0.5059880239520959,-6.923878235245402,-0.029576614197359352,0.5355646381494552,-0.029576614197359352,-2.957661419735935
Anthony Edwards,869,429,87.16930383590682,911.8306961640932,999,0.4516972310203578,0.4936708860759494,10.030990084684328,0.041973655055591585,0.4516972310203578,0.041973655055591585,4.1973655055591585
Ausar Thompson,389,200,-45.93376329055342,451.93376329055343,406,0.5719339167694898,0.5141388174807198,-11.808165370322216,-0.057795099288770024,0.5719339167694898,-0.057795099288770024,-5.779509928877003
Austin Reaves,399,204,62.21775827768057,413.78224172231944,476,0.43726511429746967,0.5112781954887218,15.59342312723824,0.0740130811912521,0.43726511429746967,0.0740130811912521,7.40130811912521
Ayo Dosunmu,486,250,40.09589122822054,546.9041087717794,587,0.49036669525450227,0.51440329218107,8.250183380292292,0.024036596926567677,0.49036669525450227,0.024036596926567677,2.4036596926567677
Bam Adebayo,640,284,-44.62977942365409,683.6297794236541,639,0.4745579042379407,0.44375,-6.973403034945952,-0.03080790423794072,0.4745579042379407,-0.03080790423794072,-3.080790423794072
Bennedict Mathurin,358,155,-2.7991489378684298,370.79914893786844,368,0.4395986705720013,0.4329608938547486,-0.7818851781755392,-0.006637776717252686,0.4395986705720013,-0.006637776717252686,-0.6637776717252686
Bilal Coulibaly,253,99,-74.77306306597163,299.77306306597166,225,0.5164913480949135,0.391304347826087,-29.554570381806965,-0.1251870002688265,0.5164913480949135,-0.1251870002688265,-12.518700026882652
Bobby Portis,519,250,71.79596686493397,517.2040331350661,589,0.42817691518291096,0.4816955684007707,13.833519627154908,0.05351865321785976,0.42817691518291096,0.05351865321785976,5.351865321785976
Brandin Podziemski,480,216,29.4925996096106,489.5074003903894,519,0.4245230276135557,0.45,6.144291585335542,0.025476972386444308,0.4245230276135557,0.025476972386444308,2.5476972386444308
Brandon Ingram,889,420,46.697755582773205,888.3022444172268,935,0.44685459063655275,0.47244094488188976,5.252840897949742,0.025586354245337006,0.44685459063655275,0.025586354245337006,2.5586354245337004
Brandon Miller,573,247,-8.578184920062679,603.5781849200627,595,0.44027151322839125,0.43106457242582896,-1.4970654310755112,-0.009206940802562291,0.44027151322839125,-0.009206940802562291,-0.9206940802562291
Brandon Williams,413,191,-38.26855374019859,442.26855374019857,404,0.48920316162087424,0.46246973365617433,-9.265993641694575,-0.026733427964699907,0.48920316162087424,-0.026733427964699907,-2.6733427964699907
Brice Sensabaugh,461,210,17.962285775765277,488.0377142242347,506,0.4311068860783273,0.455531453362256,3.8963743548297782,0.024424567283928666,0.4311068860783273,0.024424567283928666,2.442456728392867
Brook Lopez,255,95,-15.786521236270339,267.78652123627035,252,0.3975410497529754,0.37254901960784315,-6.190792641674642,-0.024992030145132238,0.3975410497529754,-0.024992030145132238,-2.499203014513224
Bruce Brown,327,152,-18.830455156829434,350.83045515682943,332,0.49051058983298024,0.4648318042813456,-5.75854897762368,-0.025678785551634664,0.49051058983298024,-0.025678785551634664,-2.5678785551634666
Bub Carrington,433,173,15.081284199021251,437.91871580097876,453,0.39685106114934715,0.3995381062355658,3.4829755655938226,0.0026870450862186424,0.39685106114934715,0.0026870450862186424,0.26870450862186424
Buddy Hield,300,130,6.426044072452173,320.57395592754784,327,0.41764231178484945,0.43333333333333335,2.1420146908173914,0.015691021548483897,0.41764231178484945,0.015691021548483897,1.5691021548483897
CJ McCollum,728,331,54.85919752638521,731.1408024736148,786,0.4222290437043802,0.45467032967032966,7.535604055822144,0.03244128596594947,0.4222290437043802,0.03244128596594947,3.2441285965949476
Cade Cunningham,849,391,-13.502395752408276,876.5023957524082,863,0.463218529113887,0.46054181389870436,-1.5903881922742373,-0.0026767152151826457,0.463218529113887,-0.0026767152151826457,-0.26767152151826457
Caleb Love,455,178,-31.315505851367472,474.31550585136745,443,0.4159500424018103,0.3912087912087912,-6.882528758542302,-0.02474125119301912,0.4159500424018103,-0.02474125119301912,-2.4741251193019123
Cam Spencer,385,185,87.98778548776556,390.01221451223444,478,0.39677617271588034,0.4805194805194805,22.853970256562484,0.08374330780360018,0.39677617271588034,0.08374330780360018,8.374330780360017
Cam Thomas,308,123,-18.34789368583454,302.34789368583455,284,0.4231105545576499,0.39935064935064934,-5.957108339556668,-0.023759905207000553,0.4231105545576499,-0.023759905207000553,-2.3759905207000553
Cason Wallace,345,144,-31.95374973411798,389.953749734118,358,0.461401728560133,0.41739130434782606,-9.26195644467188,-0.04401042421230694,0.461401728560133,-0.04401042421230694,-4.401042421230694
Cedric Coward,488,227,-14.175798164595378,538.1757981645953,524,0.4737450238731268,0.4651639344262295,-2.904876673072823,-0.008581089446897283,0.4737450238731268,-0.008581089446897283,-0.8581089446897283
Chet Holmgren,528,299,32.593009079691775,624.4069909203082,657,0.5337529862187007,0.5662878787878788,6.17291838630526,0.032534892569178075,0.5337529862187007,0.032534892569178075,3.2534892569178075
Coby White,393,172,-4.8703872342845145,420.8703872342845,416,0.44109012005895704,0.43765903307888043,-1.2392842835329554,-0.003431086980076603,0.44109012005895704,-0.003431086980076603,-0.3431086980076603
Collin Gillespie,551,244,84.53358991539014,561.4664100846098,646,0.3914063541267624,0.44283121597096187,15.341849349435597,0.051424861844199476,0.3914063541267624,0.051424861844199476,5.142486184419948
Collin Murray-Boyles,256,141,-16.320735117588146,314.32073511758813,298,0.5806871164711945,0.55078125,-6.37528715530787,-0.02990586647119453,0.5806871164711945,-0.02990586647119453,-2.990586647119453
Collin Sexton,414,202,30.45663059284604,430.543369407154,461,0.45664222329167015,0.48792270531400966,7.356674056243005,0.03128048202233952,0.45664222329167015,0.03128048202233952,3.128048202233952
Cooper Flagg,758,368,-7.467419832497312,793.4674198324973,786,0.48291948963950604,0.48548812664907653,-0.9851477351579566,0.002568637009570496,0.48291948963950604,0.002568637009570496,0.2568637009570496
Daniss Jenkins,273,115,-5.561783361462199,275.5617833614622,270,0.43681678576387467,0.42124542124542125,-2.037283282586886,-0.015571364518453423,0.43681678576387467,-0.015571364518453423,-1.5571364518453423
Danny Wolf,263,103,-46.92376965907516,291.92376965907516,245,0.46882782623517,0.3916349809885932,-17.841737512956335,-0.07719284524657682,0.46882782623517,-0.07719284524657682,-7.719284524657683
