PLAYER_NAME,total_attempts,total_makes,total_poe,total_xp,total_actual_points,avg_xp_prob,fg_pct,poe_per_100,shooting_skill,expected_fg_pct,fg_residual,fg_residual_pct,salary_millions,POE_per_million,points_per_million,cost_per_POE
AJ Green,363,160,68.22442149008798,391.775578509912,460,0.3765849636834082,0.4407713498622589,18.794606471098614,0.0641863861788507,0.3765849636834082,0.0641863861788507,6.418638617885075,2.301587,29.64233873848261,199.8620951543435,0.03373552973746193
Aaron Gordon,273,139,14.497315845668124,305.50268415433186,320,0.4893409391946666,0.5091575091575091,5.310372104640338,0.0198165699628424,0.4893409391946666,0.0198165699628424,1.981656996284248,22.841455,0.6346931859493243,14.009615411977915,1.575564417797047
Aaron Nesmith,356,138,-29.32114955077036,379.3211495507704,350,0.431000286436454,0.3876404494382022,-8.23627796369954,-0.0433598369982518,0.431000286436454,-0.0433598369982518,-4.33598369982518,11.0,-2.665559050070033,31.818181818181817,11.0
Aaron Wiggins,325,147,5.687698901898845,359.31230109810116,365,0.4518314893152062,0.4523076923076923,1.75006120058426,0.000476202992486,0.4518314893152062,0.000476202992486,0.0476202992486074,10.102803,0.5629822636251389,36.128587284142824,1.7762548922248975
Ace Bailey,469,210,-35.62418591529133,523.6241859152914,488,0.4799930123515847,0.4477611940298507,-7.59577524846297,-0.0322318183217339,0.4799930123515847,-0.0322318183217339,-3.2231818321734,9.06984,-3.927763435219511,53.80469776754607,9.06984
Ajay Mitchell,456,222,22.56126083379854,469.43873916620146,492,0.459415984342249,0.4868421052631579,4.947644919692662,0.0274261209209088,0.459415984342249,0.0274261209209088,2.7426120920908845,3.0,7.520420277932846,164.0,0.1329712919016372
Alex Sarr,562,279,-28.232687594712328,626.2326875947123,598,0.5194525153291574,0.49644128113879,-5.023609892297568,-0.0230112341903673,0.5194525153291574,-0.0230112341903673,-2.3011234190367325,11.80824,-2.3909310443141676,50.642602115133165,11.80824
Alperen Sengun,702,348,-18.54788517748376,738.5478851774837,720,0.5052585882008944,0.4957264957264957,-2.6421488856814475,-0.0095320924743986,0.5052585882008944,-0.0095320924743986,-0.953209247439868,33.944954,-0.5464106735122917,21.210810891067933,33.944954
Amen Thompson,681,342,-81.86354787559407,782.863547875594,701,0.5514840103323301,0.5022026431718062,-12.021078983200304,-0.0492813671605238,0.5514840103323301,-0.0492813671605238,-4.928136716052389,9.6906,-8.44772747565621,72.33814211710317,9.6906
Andrew Nembhard,560,249,18.767402101271713,557.2325978987283,576,0.4303548956684797,0.4446428571428571,3.35132180379852,0.0142879614743774,0.4303548956684797,0.0142879614743774,1.4287961474377442,18.102,1.0367584853205012,31.819688432217433,0.9645447943364189
Andrew Wiggins,619,292,15.0942313855152,659.9057686144848,675,0.4650248267331008,0.4717285945072698,2.4384864920056866,0.0067037677741689,0.4650248267331008,0.0067037677741689,0.6703767774168923,28.223215,0.5348161570365105,23.916481520620525,1.8698014015528936
Anfernee Simons,583,258,67.94613891338985,584.0538610866101,652,0.3966907708013185,0.4425385934819897,11.65456928188505,0.0458478226806711,0.3966907708013185,0.0458478226806711,4.584782268067117,27.678571,2.4548282826230388,23.55612939699813,0.40736046878663046
Anthony Black,623,285,-45.304038850131825,698.3040388501319,653,0.4901150336966838,0.4574638844301765,-7.2719163483357665,-0.0326511492665073,0.4901150336966838,-0.0326511492665073,-3.265114926650731,7.97028,-5.684121367145424,81.92936760063637,7.97028
Anthony Davis,334,169,-23.125753305719645,371.1257533057196,348,0.5355646381494552,0.5059880239520959,-6.923878235245402,-0.0295766141973593,0.5355646381494552,-0.0295766141973593,-2.957661419735935,54.12645,-0.4272542039191494,6.429388958632979,54.12645
Anthony Edwards,891,440,93.31131284646123,932.6886871535388,1026,0.4503856094886892,0.4938271604938271,10.472650151117984,0.0434415510051379,0.4503856094886892,0.0434415510051379,4.344155100513792,45.550512,2.0485239078423803,22.524444950256544,0.4881563725820783
Ausar Thompson,392,201,-47.69508705727857,455.69508705727856,408,0.5723544783334034,0.5127551020408163,-12.167114045224125,-0.059599376292587,0.5723544783334034,-0.059599376292587,-5.959937629258705,8.775,-5.435337556385022,46.495726495726494,8.775
Austin Reaves,399,204,62.21775827768057,413.78224172231944,476,0.4372651142974696,0.5112781954887218,15.59342312723824,0.0740130811912521,0.4372651142974696,0.0740130811912521,7.40130811912521,13.937574,4.464030704172805,34.15228503898885,0.2240127961183686
Ayo Dosunmu,486,250,40.09589122822054,546.9041087717794,587,0.4903666952545022,0.51440329218107,8.250183380292292,0.0240365969265676,0.4903666952545022,0.0240365969265676,2.4036596926567677,7.518518,5.332951417848642,78.07389701002245,0.18751342767780332
Bam Adebayo,653,289,-45.19650797960416,696.1965079796041,651,0.4730144848465692,0.442572741194487,-6.921364162267101,-0.0304417436520822,0.4730144848465692,-0.0304417436520822,-3.04417436520823,37.09662,-1.2183457139654277,17.548768594012067,37.09662
Bennedict Mathurin,358,155,-2.7991489378684298,370.7991489378685,368,0.4395986705720013,0.4329608938547486,-0.7818851781755392,-0.0066377767172526,0.4395986705720013,-0.0066377767172526,-0.6637776717252686,9.187573,-0.3046668513946425,40.054103515694514,9.187573
Bilal Coulibaly,253,99,-74.77306306597163,299.77306306597166,225,0.5164913480949135,0.391304347826087,-29.554570381806965,-0.1251870002688265,0.5164913480949135,-0.1251870002688265,-12.518700026882652,7.2756,-10.277236663089178,30.925284512617516,7.2756
